Combination,Accuracy,Precision,Recall,F1 Score,Next_Day_Prediction
ATR Bearish_Momentum Bearish_Crossover,0.631578947368421,0.6041666666666667,0.6041666666666667,0.6041666666666667,0
ATR Bearish_Momentum High_Volatility,0.5921052631578947,0.5645634629493763,0.5654761904761905,0.5649122807017544,0
ATR Bearish_Momentum Volume_Pressure,0.6447368421052632,0.6129411764705883,0.6071428571428572,0.6089193825042881,0
ATR Bearish_Crossover High_Volatility,0.6052631578947368,0.5811594202898551,0.5833333333333333,0.5818048422597212,0
ATR Bearish_Crossover Volume_Pressure,0.6578947368421053,0.6292307692307693,0.625,0.6266061980347695,0
ATR High_Volatility Volume_Pressure,0.5657894736842105,0.5235294117647059,0.5223214285714286,0.5220125786163523,0
OBV RSI_14 SMA_10,0.5921052631578947,0.5645634629493763,0.5654761904761905,0.5649122807017544,0
OBV RSI_14 SMA_30,0.47368421052631576,0.43452380952380953,0.43452380952380953,0.43452380952380953,0
OBV RSI_14 Bullish_Momentum,0.5131578947368421,0.49577167019027485,0.4955357142857143,0.4934246081787066,0
OBV RSI_14 Bearish_Momentum,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
OBV RSI_14 Bearish_Crossover,0.5263157894736842,0.5056818181818181,0.5059523809523809,0.5043478260869565,0
OBV RSI_14 High_Volatility,0.5526315789473685,0.5392156862745098,0.5416666666666667,0.5369175627240144,0
OBV RSI_14 Volume_Pressure,0.5394736842105263,0.5157706093189964,0.5163690476190476,0.5152177874977218,0
OBV SMA_10 SMA_30,0.631578947368421,0.6086956521739131,0.6116071428571428,0.6096845194424064,0
OBV SMA_10 Bullish_Momentum,0.5526315789473685,0.5326704545454546,0.5342261904761905,0.5318840579710145,0
OBV SMA_10 Bearish_Momentum,0.6710526315789473,0.6482024944974321,0.6502976190476191,0.6491228070175439,0
OBV SMA_10 Bearish_Crossover,0.6578947368421053,0.6266025641025641,0.6175595238095238,0.62,0
OBV SMA_10 High_Volatility,0.6578947368421053,0.645658263305322,0.6547619047619048,0.6458781362007169,0
OBV SMA_10 Volume_Pressure,0.6710526315789473,0.6451247165532881,0.6428571428571428,0.6438612933458294,0
OBV SMA_30 Bullish_Momentum,0.5394736842105263,0.5292682926829269,0.53125,0.5255930087390761,0
OBV SMA_30 Bearish_Momentum,0.5789473684210527,0.5476190476190476,0.5476190476190476,0.5476190476190476,0
OBV SMA_30 Bearish_Crossover,0.6052631578947368,0.5758928571428572,0.5758928571428572,0.5758928571428572,0
OBV SMA_30 High_Volatility,0.618421052631579,0.5876795162509448,0.5863095238095238,0.5868791002811622,0
OBV SMA_30 Volume_Pressure,0.5789473684210527,0.5476190476190476,0.5476190476190476,0.5476190476190476,0
OBV Bullish_Momentum Bearish_Momentum,0.5657894736842105,0.5623700623700624,0.5669642857142857,0.556498673740053,0
OBV Bullish_Momentum Bearish_Crossover,0.5526315789473685,0.5458333333333334,0.5491071428571428,0.5411931818181819,0
OBV Bullish_Momentum High_Volatility,0.5789473684210527,0.5789473684210527,0.5848214285714286,0.5715292459478506,0
OBV Bullish_Momentum Volume_Pressure,0.5789473684210527,0.5596590909090908,0.5625,0.5594202898550724,0
OBV Bearish_Momentum Bearish_Crossover,0.5789473684210527,0.5536231884057972,0.5550595238095238,0.553925165077036,0
OBV Bearish_Momentum High_Volatility,0.631578947368421,0.6190476190476191,0.6264880952380952,0.6186379928315412,0
OBV Bearish_Momentum Volume_Pressure,0.618421052631579,0.5831372549019608,0.5788690476190476,0.5799504478749762,0
OBV Bearish_Crossover High_Volatility,0.6447368421052632,0.6296687808315715,0.6369047619047619,0.6303368762385155,0
OBV Bearish_Crossover Volume_Pressure,0.6052631578947368,0.5657051282051282,0.5610119047619048,0.5615384615384615,0
OBV High_Volatility Volume_Pressure,0.618421052631579,0.5831372549019608,0.5788690476190476,0.5799504478749762,0
RSI_14 SMA_10 SMA_30,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
RSI_14 SMA_10 Bullish_Momentum,0.5263157894736842,0.5056818181818181,0.5059523809523809,0.5043478260869565,0
RSI_14 SMA_10 Bearish_Momentum,0.5,0.46279761904761907,0.46279761904761907,0.46279761904761907,0
RSI_14 SMA_10 Bearish_Crossover,0.5263157894736842,0.48307692307692307,0.48363095238095244,0.48299319727891155,0
RSI_14 SMA_10 High_Volatility,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
RSI_14 SMA_10 Volume_Pressure,0.5526315789473685,0.5260869565217392,0.5267857142857143,0.5260454878943508,0
RSI_14 SMA_30 Bullish_Momentum,0.5131578947368421,0.49577167019027485,0.4955357142857143,0.4934246081787066,0
RSI_14 SMA_30 Bearish_Momentum,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
RSI_14 SMA_30 Bearish_Crossover,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
RSI_14 SMA_30 High_Volatility,0.5526315789473685,0.5123076923076924,0.5119047619047619,0.5117157974300831,0
RSI_14 SMA_30 Volume_Pressure,0.5657894736842105,0.5557491289198606,0.5595238095238095,0.5527019796682718,0
RSI_14 Bullish_Momentum Bearish_Momentum,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
